"","LATID","GATENUM","FLOWERROR","VOLTRUTH"
"95"," 12-3b-1",8,1.54503022952743,28.4881666046228
"96"," 12-3b-1",9,1.70340477542225,29.4682436781645
"97"," 12-3b-1",10,1.4746940203738,28.5425964298285
"98"," 12-3b-1",11,1.63546657829367,28.5665788219001
"99"," 12-3c",10,1.71911349384424,28.7016108265647
"100"," 12-3c",11,1.55395652006762,26.368649572274
"101"," 12-3c",12,1.70645061109953,28.4580435934266
"102"," 12-3c",13,1.76631653372815,28.9337989139723
"103"," 12-3c",14,1.8476249536727,28.8588950614808
"104"," 12-3c",15,1.74197853922258,29.3720397577551
"105"," 12-3c",16,1.88428129496845,27.7890681905423
"106"," 12-3c",17,1.90154368598069,27.8117995344459
"107"," 12-3d",12,1.66843034799904,27.8147625194337
"108"," 12-3d",13,1.75015271531843,28.7667012376875
"109"," 12-3d",14,1.7139683385902,28.750852887196
"110"," 12-3d",15,1.83353730894342,28.3928587954948
"111"," 12-3d",16,1.86816462326418,28.0894784507632
"112"," 12-3d",17,1.90420518568733,29.141114280913
"113"," 12-4",1,1.27713631774364,27.279100731398
"114"," 12-4",2,1.2981806740245,29.3384412340555
"115"," 12-4",3,1.3409179619041,28.3540347801469
"116"," 12-4",4,1.33701842730161,28.6661699995937
"117"," 12-4",5,1.45025984889218,26.9586781643693
"118"," 12-4",6,1.37898255813619,27.8737923844632
"119"," 12-4",7,1.41428129942185,28.6280015503673
"120"," 12-4",8,1.52475228799821,29.3452587111652
"121"," 12-4",9,1.52914392141147,28.5130316795519
"122"," 12-4",10,1.63423374665881,30.1057806061911
"123"," 12-4",11,1.58424159589383,27.5407516429534
"124"," 12-4",12,1.71433044589455,28.7385182104852
"125"," 12-4",13,1.69168018182399,28.4893595063856
"126"," 12-4",14,1.79965813430334,29.3948490120685
"127"," 12-4",15,1.82988199408241,28.2392841438774
"128"," 12-4",16,1.97790837266319,27.8453893630147
"129"," 12-4",17,1.95980514917594,27.7485931752702
"130"," 12-4",18,2.04043599869597,29.1992426102759
"131"," 12-4",19,1.98296743424169,27.968935468261
"132"," 12-4",20,2.10989730355271,27.879814248551
"133"," 12-4",21,2.07487420088766,29.3954264481092
"134"," 12-4",22,2.40087944544123,28.2357263119768
"135"," 12-4",23,2.211902170937,28.2071049096298
"136"," 12-4",24,2.18377486782848,28.3860568010394
"137"," 12-4",25,2.35765931923503,29.1244721405528
"138"," 12-4",26,2.38413981418912,27.5179322740965
"139"," 12-4a",7,1.42625267896703,27.6965696412091
"140"," 12-4a",8,1.56172074943574,28.805355996111
"141"," 12-4a",9,1.56430661939022,29.1445542241292
"142"," 13-1",1,1.27976180123217,30.0480224296339
"143"," 13-1",2,1.29019375673783,26.9674411754721
"144"," 13-1",3,1.29910158025235,27.8907291273149
"145"," 13-1",4,1.35999828627618,27.5081797408591
"146"," 13-1",5,1.37543121808339,29.1766672027878
"147"," 13-1",6,1.40894370395767,28.0413587176687
"148"," 13-1",7,1.46063529146583,29.1308806180205
"149"," 13-1",8,1.47206937374969,27.247714656193
"150"," 13-2",1,1.28847409044768,28.0730016687961
"151"," 13-2",2,1.34362799203469,28.6689588249544
"152"," 13-2",3,1.31873068495009,28.4553344999026
"153"," 13-2",4,1.31183134529107,28.6541581464559
"154"," 13-2",5,1.40038105881651,28.5922571300582
"155"," 13-2",6,1.44438598337609,28.5125798885407
"156"," 13-2",7,1.46508872196838,27.1561004507502
"157"," 13-2",8,1.5100058648093,28.3377789861196
"158"," 13-2",9,1.58380013235948,28.6661349460033
"159"," 13-2",10,1.54784414057851,28.6600575896076
"160"," 13-2",11,1.6464840857952,28.616855426684
"161"," 13-2",12,1.70212493145515,27.3522595712836
"162"," 13-2",13,1.76528901307986,29.2100198081984
"163"," 13-2",14,1.74678778871228,28.7858651632497
"164"," 13-2",15,1.96839427117495,28.2246649456108
"165"," 13-2",16,2.03271281925025,29.5189389428805
"166"," 13-2",17,1.88086678399418,29.2792534660566
"167"," 13-2a",2,1.31855809993272,28.6900258410856
"168"," 13-2a",3,1.39007705941142,28.5585629401579
"169"," 13-2b",6,1.47906951899003,28.8103037451849
"170"," 13-2b",7,1.49408967085899,28.5759210619058
"171"," 13-3",1,1.28012853459339,27.6631355277213
"172"," 13-3",2,1.32298449208678,29.7234161275272
"173"," 13-3",3,1.27112602123805,27.9922503402764
"174"," 13-3",4,1.29441345532043,29.0075497139968
"175"," 13-3",5,1.37236096786727,28.3395654707785
"176"," 13-3",6,1.3663817780347,27.1296882958068
"177"," 13-3",7,1.3888912860871,29.1391850446199
"178"," 13-3",8,1.52524641616138,27.8998371274142
"179"," 13-3",9,1.55101070071254,28.4907596800258
"180"," 13-3",10,1.5737519593305,28.2814260783934
"181"," 13-3",11,1.65030337601637,28.1113924385391
"182"," 13-3",12,1.65463593762936,28.0388265074424
"183"," 13-3",13,1.75713104221613,28.1197678071641
"184"," 13-3",14,1.70465316425919,27.2858274481355
"185"," 13-3",15,1.86170663842296,29.5453529014425
"186"," 13-3",16,1.76795682245492,27.8480912888706
"187"," 13-3",17,1.96672235324551,28.5718041283833
